,url,qtr,quarter,code,company
4870,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/121.00/shareholding-pattern/Mar-2024/,121,Mar-24,500097,DALMIASUG
4871,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/120.00/shareholding-pattern/Dec-2023/,120,Dec-23,500097,DALMIASUG
4872,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/119.00/shareholding-pattern/Sep-2023/,119,Sep-23,500097,DALMIASUG
4873,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/118.01/shareholding-pattern/Jun-2023/,118.01,Jun-23,500097,DALMIASUG
4874,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/118.00/shareholding-pattern/Jun-2023/,118,Jun-23,500097,DALMIASUG
4875,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/117.00/shareholding-pattern/Mar-2023/,117,Mar-23,500097,DALMIASUG
4876,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/116.00/shareholding-pattern/Dec-2022/,116,Dec-22,500097,DALMIASUG
4877,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/115.00/shareholding-pattern/Sep-2022/,115,Sep-22,500097,DALMIASUG
4878,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/114.00/shareholding-pattern/Jun-2022/,114,Jun-22,500097,DALMIASUG
4879,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/113.00/shareholding-pattern/Mar-2022/,113,Mar-22,500097,DALMIASUG
4880,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/112.00/shareholding-pattern/Dec-2021/,112,Dec-21,500097,DALMIASUG
4881,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/111.00/shareholding-pattern/Sep-2021/,111,Sep-21,500097,DALMIASUG
4882,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/110.00/shareholding-pattern/Jun-2021/,110,Jun-21,500097,DALMIASUG
4883,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/109.00/shareholding-pattern/Mar-2021/,109,Mar-21,500097,DALMIASUG
4884,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/108.00/shareholding-pattern/Dec-2020/,108,Dec-20,500097,DALMIASUG
4885,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/107.00/shareholding-pattern/Sep-2020/,107,Sep-20,500097,DALMIASUG
4886,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/106.00/shareholding-pattern/Jun-2020/,106,Jun-20,500097,DALMIASUG
4887,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/105.00/shareholding-pattern/Mar-2020/,105,Mar-20,500097,DALMIASUG
4888,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/104.00/shareholding-pattern/Dec-2019/,104,Dec-19,500097,DALMIASUG
4889,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/103.00/shareholding-pattern/Sep-2019/,103,Sep-19,500097,DALMIASUG
4890,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/102.00/shareholding-pattern/Jun-2019/,102,Jun-19,500097,DALMIASUG
4891,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/101.00/shareholding-pattern/Mar-2019/,101,Mar-19,500097,DALMIASUG
4892,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/100.00/shareholding-pattern/Dec-2018/,100,Dec-18,500097,DALMIASUG
4893,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/99.00/shareholding-pattern/Sep-2018/,99,Sep-18,500097,DALMIASUG
4894,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/98.00/shareholding-pattern/Jun-2018/,98,Jun-18,500097,DALMIASUG
4895,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/97.00/shareholding-pattern/Mar-2018/,97,Mar-18,500097,DALMIASUG
4896,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/96.00/shareholding-pattern/Dec-2017/,96,Dec-17,500097,DALMIASUG
4897,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/95.00/shareholding-pattern/Sep-2017/,95,Sep-17,500097,DALMIASUG
4898,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/94.00/shareholding-pattern/Jun-2017/,94,Jun-17,500097,DALMIASUG
4899,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/93.00/shareholding-pattern/Mar-2017/,93,Mar-17,500097,DALMIASUG
4900,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/92.00/shareholding-pattern/Dec-2016/,92,Dec-16,500097,DALMIASUG
4901,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/91.00/shareholding-pattern/Sep-2016/,91,Sep-16,500097,DALMIASUG
4902,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/90.00/shareholding-pattern/Jun-2016/,90,Jun-16,500097,DALMIASUG
4903,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/89.00/shareholding-pattern/Mar-2016/,89,Mar-16,500097,DALMIASUG
4904,https://www.bseindia.com/stock-share-price/dalmia-bharat-sugar-and-industries-ltd/dalmiasug/500097/qtrid/88.00/shareholding-pattern/Dec-2015/,88,Dec-15,500097,DALMIASUG
4905,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/128.00/shareholding-pattern/Dec-2025/,128,Dec-25,503806,SRF
4906,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/127.00/shareholding-pattern/Sep-2025/,127,Sep-25,503806,SRF
4907,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/126.00/shareholding-pattern/Jun-2025/,126,Jun-25,503806,SRF
4908,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/125.00/shareholding-pattern/Mar-2025/,125,Mar-25,503806,SRF
4909,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/124.00/shareholding-pattern/Dec-2024/,124,Dec-24,503806,SRF
4910,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/123.00/shareholding-pattern/Sep-2024/,123,Sep-24,503806,SRF
4911,https://www.bseindia.com/stock-share-price/srf-ltd/srf/503806/qtrid/122.00/shareholding-pattern/Jun-2024/,122,Jun-24,503806,SRF
